elapsed_s,prefill_replicas,prefill_ready,decode_replicas,decode_ready,decode-tokenaware_metric,prefill-tokenaware_metric
2,1,1,1,1,0,0
19,1,1,1,1,0,0
37,1,1,1,1,0,0
54,1,1,1,1,5m,0
72,1,1,1,1,5m,0
89,1,1,1,1,31m,0
107,1,1,1,1,31m,0
124,1,1,1,1,82m,0
142,1,1,1,1,82m,0
159,1,1,1,1,153m,0
177,1,1,1,1,175m,0
195,1,1,1,1,175m,0
212,1,1,1,1,202m,0
230,1,1,1,1,202m,0
248,1,1,1,1,182m,0
266,1,1,1,1,171m,0
283,1,1,1,1,171m,0
301,1,1,1,1,183m,0
318,1,1,1,1,183m,0
336,1,1,1,1,196m,0
353,1,1,1,1,104m,0
371,1,1,1,1,104m,0
388,1,1,1,1,127m,0
406,1,1,1,1,127m,0
423,1,1,1,1,120m,0
441,1,1,1,1,120m,0
459,1,1,1,1,69m,0
476,1,1,1,1,6m,0
494,1,1,1,1,6m,0
512,1,1,1,1,34m,0
530,1,1,1,1,34m,0
548,1,1,1,1,88m,0
565,1,1,1,1,156m,0
583,1,1,1,1,156m,0
601,1,1,1,1,228m,0
619,1,1,1,1,228m,0
636,1,1,1,1,254m,0
654,1,1,1,1,266m,0
671,1,1,1,1,266m,0
689,1,1,1,1,313m,190m
707,1,1,1,1,313m,0
724,1,1,1,1,406m,0
742,1,1,1,1,379m,0
760,1,1,1,1,379m,0
777,1,1,1,1,472m,0
795,1,1,1,1,472m,0
812,1,1,1,1,544m,0
830,1,1,1,1,544m,0
847,1,1,1,1,580m,0
865,1,1,1,1,580m,0
883,1,1,1,1,554m,0
900,1,1,1,1,556m,0
918,1,1,1,1,556m,0
935,1,1,1,1,513m,0
953,1,1,1,1,537m,0
970,1,1,1,1,348m,0
988,1,1,1,1,325m,0
1006,1,1,1,1,325m,0
1023,1,1,1,1,211m,0
1041,1,1,1,1,211m,0
1058,1,1,1,1,0,0
1076,1,1,1,1,0,0
1094,1,1,1,1,45m,0
1111,1,1,1,1,148m,0
1129,1,1,1,1,148m,0
1146,1,1,1,1,284m,0
1164,1,1,1,1,441m,190m
1182,1,1,1,1,441m,0
1200,1,1,1,1,590m,0
1217,1,1,1,1,590m,0
1235,1,1,1,1,518m,0
1252,1,1,1,1,581m,0
1270,1,1,1,1,581m,0
1287,1,1,1,1,596m,0
1305,1,1,1,1,596m,0
1322,1,1,1,1,664m,0
1340,1,1,1,1,664m,0
1358,1,1,1,1,776m,190m
1376,1,1,1,1,750m,0
1394,1,1,1,1,750m,0
1411,1,1,1,1,705m,0
1428,1,1,1,1,705m,0
1446,1,1,1,1,813m,190m
1463,1,1,1,1,804m,0
1481,1,1,1,1,804m,0
1499,1,1,1,1,928m,0
1516,1,1,2,1,928m,0
1534,1,1,2,1,999m,0
1551,1,1,2,1,999m,0
1569,1,1,2,1,965m,0
1587,1,1,2,1,997m,1.045
1604,2,1,2,1,997m,2.896
1622,2,1,2,1,998m,4.510
1639,2,1,2,1,998m,5.223
1657,2,1,2,1,999m,760m
1674,2,1,2,1,999m,760m
1692,2,1,2,2,999m,0
1711,2,1,2,2,955m,0
1728,2,1,2,2,955m,0
1746,2,1,2,2,922m,0
1763,2,1,2,2,851m,0
1781,2,1,2,2,851m,0
1798,2,1,2,2,933m,0
1816,2,2,2,2,933m,0
1834,2,2,2,2,918m,0
1852,2,2,2,2,918m,0
1869,2,2,2,2,846m,0
1887,2,2,2,2,635m,0
1904,2,2,2,2,635m,0
