epoch,iso,prefill_desired,prefill_ready,decode_desired,decode_ready,prefill_active,decode_active
1787252646,19:04:06,4,4,3,2,True,True
1787252663,19:04:23,4,4,3,2,True,True
1787252681,19:04:41,4,4,3,2,True,True
1787252697,19:04:57,4,4,3,2,True,True
1787252714,19:05:14,4,4,3,2,True,True
1787252731,19:05:31,4,4,3,2,True,True
1787252748,19:05:48,4,4,3,2,True,True
1787252765,19:06:05,4,4,3,2,True,True
1787252782,19:06:22,4,4,3,2,True,True
1787252799,19:06:39,4,4,3,2,True,True
1787252817,19:06:57,4,4,3,2,True,True
1787252833,19:07:13,4,4,3,2,True,True
1787252850,19:07:30,4,4,3,2,True,True
1787252867,19:07:48,4,4,3,2,True,True
1787252884,19:08:04,4,4,3,2,True,True
1787252902,19:08:22,4,4,3,2,True,True
1787252919,19:08:39,4,4,3,2,True,True
1787252936,19:08:56,4,4,3,2,True,True
1787252953,19:09:13,4,4,3,2,True,True
1787252969,19:09:29,4,4,3,2,True,True
1787252986,19:09:46,4,4,3,2,True,True
1787253003,19:10:03,4,4,3,2,True,True
1787253020,19:10:20,4,4,3,2,True,True
1787253036,19:10:36,4,4,3,2,True,True
1787253053,19:10:53,4,4,3,2,True,True
1787253070,19:11:10,4,4,3,2,True,True
1787253086,19:11:26,4,4,3,2,True,True
1787253103,19:11:43,4,4,3,2,True,True
1787253120,19:12:00,4,4,3,2,True,True
1787253136,19:12:16,4,4,3,2,True,True
1787253152,19:12:32,4,4,3,2,True,True
1787253169,19:12:49,4,4,3,2,True,True
1787253185,19:13:05,4,4,3,2,True,True
1787253201,19:13:21,4,4,3,2,True,True
1787253218,19:13:38,4,4,3,2,True,True
1787253235,19:13:55,4,4,3,2,True,True
1787253251,19:14:11,4,4,3,2,True,True
1787253268,19:14:28,4,4,3,2,True,True
1787253285,19:14:45,4,4,3,2,True,True
1787253302,19:15:02,4,4,3,2,True,True
1787253319,19:15:19,4,4,3,2,True,True
1787253335,19:15:36,4,4,3,2,True,True
1787253352,19:15:52,4,4,3,2,True,True
1787253369,19:16:09,4,4,3,2,True,True
1787253385,19:16:25,4,4,3,2,True,True
1787253402,19:16:42,4,4,3,2,True,True
1787253418,19:16:58,4,4,3,2,True,True
1787253435,19:17:15,4,4,3,2,True,True
1787253451,19:17:31,4,4,3,2,True,True
1787253468,19:17:48,4,4,3,2,False,False
1787253484,19:18:04,4,4,3,2,True,False
1787253501,19:18:21,4,4,3,2,True,True
1787253518,19:18:38,4,4,3,2,True,True
1787253535,19:18:55,4,4,3,2,True,True
1787253552,19:19:12,4,4,3,2,False,True
1787253569,19:19:29,4,4,3,2,True,True
1787253586,19:19:46,4,4,3,2,True,True
1787253604,19:20:04,4,4,3,2,True,True
1787253621,19:20:21,4,4,3,2,True,True
1787253638,19:20:38,4,4,3,2,True,True
1787253655,19:20:55,4,4,3,2,True,True
1787253673,19:21:13,4,4,3,2,True,True
1787253690,19:21:30,4,4,3,2,True,True
1787253707,19:21:47,4,4,3,2,True,True
1787253724,19:22:04,4,4,3,2,True,True
1787253741,19:22:21,4,4,2,2,True,True
1787253757,19:22:37,4,4,2,2,True,True
1787253774,19:22:54,4,4,2,2,False,True
1787253792,19:23:12,4,4,2,2,False,True
1787253809,19:23:29,4,4,2,2,False,False
1787253826,19:23:46,4,4,2,2,True,False
1787253843,19:24:03,4,4,2,2,False,True
1787253860,19:24:20,4,4,2,2,False,True
1787253877,19:24:37,4,4,2,2,False,True
1787253894,19:24:54,4,4,2,2,False,False
1787253911,19:25:11,4,4,2,2,False,False
1787253928,19:25:28,4,4,2,2,False,True
1787253945,19:25:45,4,4,2,2,False,True
1787253962,19:26:02,4,4,2,2,False,True
1787253979,19:26:19,4,4,2,2,True,True
1787253996,19:26:36,4,4,2,2,True,True
1787254012,19:26:52,4,4,2,2,False,True
1787254029,19:27:09,4,4,2,2,False,True
1787254046,19:27:26,4,4,1,1,False,True
1787254063,19:27:43,4,4,1,1,True,True
1787254080,19:28:00,4,4,1,1,False,False
1787254097,19:28:17,4,4,1,1,True,True
1787254113,19:28:33,4,4,1,1,False,True
1787254131,19:28:51,4,4,1,1,False,True
1787254147,19:29:07,4,4,1,1,True,True
1787254164,19:29:24,4,4,1,1,False,False
1787254181,19:29:41,4,4,1,1,True,False
1787254197,19:29:57,4,4,1,1,False,False
1787254214,19:30:14,4,4,1,1,False,False
1787254230,19:30:30,4,4,1,1,False,False
1787254247,19:30:47,4,4,1,1,False,True
1787254263,19:31:03,4,4,1,1,True,True
1787254279,19:31:19,4,4,1,1,False,True
1787254296,19:31:36,4,4,1,1,True,True
1787254312,19:31:52,4,4,1,1,True,True
1787254329,19:32:09,4,4,1,1,True,True
1787254346,19:32:26,4,4,1,1,True,True
1787254362,19:32:42,4,4,1,1,False,True
1787254378,19:32:58,4,4,1,1,False,False
1787254395,19:33:15,4,4,1,1,False,False
1787254411,19:33:31,4,4,1,1,False,True
1787254428,19:33:48,4,4,1,1,False,True
1787254444,19:34:04,4,4,1,1,True,True
1787254461,19:34:21,4,4,1,1,False,False
1787254477,19:34:37,4,4,1,1,False,False
1787254494,19:34:54,4,4,1,1,True,True
1787254512,19:35:12,4,4,1,1,True,True
1787254529,19:35:29,4,4,1,1,False,False
1787254546,19:35:46,4,4,1,1,False,False
1787254562,19:36:02,4,4,1,1,False,True
1787254579,19:36:19,4,4,1,1,False,True
1787254597,19:36:37,4,4,1,1,False,True
1787254613,19:36:53,4,4,1,1,False,False
1787254630,19:37:10,4,4,1,1,True,False
