elapsed_s,prefill_replicas,prefill_ready,decode_replicas,decode_ready,decode-tokenaware_metric,prefill-tokenaware_metric
1,1,1,1,1,0,0
17,1,1,1,1,0,0
33,1,1,1,1,0,0
49,1,1,1,1,20m,0
65,1,1,1,1,58m,0
81,1,1,1,1,58m,0
97,2,1,1,1,78m,2.374
113,2,1,1,1,78m,0
129,2,1,1,1,86m,0
146,2,1,1,1,86m,0
162,2,1,1,1,62m,0
178,2,1,1,1,62m,0
194,2,1,1,1,60m,0
210,2,1,1,1,60m,0
226,2,1,1,1,116m,0
242,2,1,1,1,116m,0
258,2,1,1,1,60m,0
274,2,1,1,1,101m,0
290,2,1,1,1,101m,1.187
306,2,1,1,1,75m,0
322,2,2,1,1,75m,0
338,2,2,1,1,50m,0
354,2,2,1,1,50m,0
370,2,2,1,1,6m,0
386,2,2,1,1,6m,2.374
402,1,1,1,1,141m,0
418,1,1,1,1,141m,0
434,1,1,1,1,134m,1.187
450,1,1,1,1,134m,0
466,1,1,1,1,218m,0
482,1,1,1,1,218m,3.561
498,1,1,1,1,199m,1.187
514,1,1,1,1,162m,0
531,1,1,1,1,162m,1.187
547,1,1,1,1,134m,0
563,1,1,1,1,134m,0
579,2,1,1,1,176m,2.374
595,2,1,1,1,176m,0
611,2,1,1,1,165m,1.187
627,2,1,1,1,165m,0
643,2,1,1,1,156m,0
659,2,1,1,1,156m,0
675,2,1,1,1,180m,0
690,2,1,1,1,180m,0
706,2,1,1,1,0,0
722,2,1,1,1,0,4.748
739,2,1,1,1,190m,0
755,2,1,1,1,252m,0
771,2,1,1,1,252m,2.374
787,2,1,1,1,204m,0
802,2,2,1,1,204m,0
818,3,2,1,1,224m,5.840
835,3,2,1,1,224m,0
851,3,2,1,1,253m,1.234
867,3,2,1,1,253m,1.187
883,3,2,1,1,319m,0
899,3,2,1,1,319m,2.374
915,3,2,1,1,287m,1.187
931,3,2,1,1,287m,0
947,3,2,1,1,298m,1.234
963,3,2,1,1,298m,5.982
979,3,2,1,1,182m,0
996,3,2,1,1,380m,0
1012,3,2,1,1,380m,0
1028,3,2,1,1,253m,1.187
1044,3,3,1,1,253m,0
1060,3,3,1,1,272m,2.374
1076,3,3,1,1,272m,0
1092,3,3,1,1,389m,1.187
1108,3,3,1,1,389m,2.374
1124,3,3,1,1,350m,0
1140,3,3,1,1,350m,0
1156,3,3,1,1,142m,0
1172,3,3,1,1,142m,0
1188,3,3,1,1,128m,7.122
1204,4,3,1,1,365m,7.169
1220,4,3,1,1,365m,0
1236,4,3,1,1,437m,1.187
1252,4,3,1,1,437m,0
1268,4,3,1,1,370m,0
1284,4,3,1,1,370m,2.374
1300,4,3,1,1,352m,1.187
1316,4,3,1,1,352m,0
1332,4,3,1,1,354m,1.187
1348,4,3,1,1,354m,2.374
1364,4,3,1,1,321m,1.187
1380,4,3,1,1,321m,0
